,PROD_NAME,PROD_PRICE,PROD_DESCRIPTION,PROD_URL,PROD_IMAGE_URL,Salz,Protein,Ballaststoffe,Zucker,Kohlenhydrate,davon gesättigte Fettsäuren,Fett,Brennwert,Eigenschaften,Lieferant,Zutaten/Inhaltsstoffe,Inhalt,Mögliche Lieferzeiten,PROD_CATEGORY,PROD_SUB_CATEGORY,STORE_NAME,Hinweis,Kann Spuren enthalten von ,Frischegarantie (mindestens),Ursprungsregion,Lagerung,Natrium,Ursprungsland,Inverkehrbringer,Beschreibung,Size,Delivery days,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Schär anzeigen,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Barilla anzeigen,Abtropfgewicht,Füllmenge,Unser Beitrag für Nachhaltigkeit,4. Anrichten,3. Abschrecken,2. Aufkochen,1. Auspacken,Produktgewicht,Bruttogewicht,FAO-Gebiet Bezeichnung,Drained weight,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Del Monte anzeigen,Bei Raumtemperatur lichtgeschützt aufbewahren. Nach dem Öffnen kühl (max. +7°C) lagern und innerhalb von 2 Tagen aufbrauchen. Mindestens haltbar bis,davon Polyole,ProduktinformationenThe supplier has not provided us with detailed information about this product.Alle Produkte von Nestlé anzeigen,Einfach ungesättigte Fettsäuren,Informationen zum Angebot,mehrfach ungesättigte Fettsäuren
1256,Schapfenmühle Dinkelporridge Natur,"2,29€","Schapfenmühle Dinkel Porridge Klassik ist nahrhaft als Frühstück oder Zwischenmahlzeit, basiert auf speziell ausgewählten Dinkelflocken und ist mit Fruchtzucker gesüßt. Für alle, die am Morgen, in ihrer Pause oder bei der Arbeit keine Zeit zum Kochen haben, ob zu Hause oder unterwegs, durch die handlichen Portionspackungen ist es sehr einfach das Porridge überall schnell und unkompliziert zuzubereiten. , SchapfenMühle GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47849-schapfenmuhle-schapfenmuhle-dinkelporridge-natur/,https://bilder.kolonial.no/local_products/4a5d74ff-4390-4f3a-a307-d1a51bd43edd.jpg?auto=format&fit=max&w=699&s=e19ff7a795fbe8b183faf73b75f265b8,0.80 g,9 g,,15.80 g,67.70 g,3.90 g,8.90 g,1674 kJ / 400 kcal,,"SchapfenMühle GmbH & Co. KG, Franzenhauserweg 21, 89081 Ulm-Jungingen, Deutschland","DINKELFLOCKEN, Maisstärke, Fruktose, Pflanzenfettpulver (Palm) (Palmöl, Glucosesirup, MILCHEIWEIß), MAGERMILCHPULVER, DINKELVOLLKORNMEHL, Speisesalz, Vanillin. Kann Spuren von EIERN, SOJA, NÜSSEN und SESAM enthalten. ",260 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,BIO COMPANY Bio Früchte Müsli,"2,79€","Früchte Müsli auf Basis von Vollkorn-Haferflocken und Vollkorn-Weizenflocken, verfeinert mit Sultaninen, getrockneten Äpfeln und Beeren, ein Frühstücks-Klassiker. , BIO COMPANY SE hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52736-bio-company-bio-company-bio-fruchte-musli/,https://bilder.kolonial.no/local_products/21a04159-8525-4d87-8d4e-c9bd4a413222.jpg?auto=format&fit=max&w=450&s=454a4882b0b322966351dbce0cb1d3fe,0.04 g,6.40 g,9.50 g,33 g,60 g,,4 g,1353 kJ / 321 kcal,Bio-Produkt,"BIO COMPANY SE, Rheinstraße 45-46, 12161, Berlin, Deutschland","Sultaninen*, HAFERflocken*, WEIZENflocken*, Feigenstücke* (Feigen*, Reismehl*), Aprikosenstücke* (Aprikosen*, Reismehl*), Dattelstücke* (Datteln*, Reismehl*), Apfeltrockenwürfel*, Weinbeeren* (Weinbeeren*, Sonnenblumenöl*), Sonnenblumenkerne*. ",500 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,"Schalentiere, Erdnüsse, Sojabohnen, Nüssen, Sesamsamen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Kellogg's Frosties,"2,79€","KELLOGG'S® FROSTIES® - knusprige Flakes aus viel gutem Mais, die dich startklar für den Tag machen. Der leckere Knusperspaß von KELLOGG'S® FROSTIES® mit Tony dem Tiger. Knusprige Flakes aus Mais. Erlebe deine Power - mit dem leckeren Knusperspaß von KELLOGG'S FROSTIES und Tony dem Tiger. Natürlich lecker ohne künstliche Farb - und Aromastoffe. , Kellogg Europe Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/38152-kelloggs-kelloggs-frosties/,https://bilder.kolonial.no/local_products/59287fac-d519-46c4-82b3-f52bbe60e333.jpg?auto=format&fit=max&w=1000&s=0d29526db47b8f787aac2e8f69546b4c,0.83 g,4.50 g,,37 g,37 g,0.60 g,0.60 g,1594 kJ / 381 kcal,,"Kellogg Europe Germany, 3 Dublin Airport Central, Dublin Airport, K67X4X5, Ireland","Mais, Zucker (37%), GERSTENMALZ, Glukosesirup, Salz. Kann enthalten: ERDNÜSSE. ",330 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Corny Müsli-Riegel Milch Classic,"1,69€","Ohne Zusatz von Konservierungsstoffen.* *lt. Gesetz
Ohne Farbstoffe
Cremig Lecker
Cream up your crunch , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43706-corny-corny-musli-riegel-milch-classic/,https://bilder.kolonial.no/local_products/fc223b37-e0b5-43d1-9581-b10891375e75.jpg?auto=format&fit=max&w=952&s=2bba4f2444e78090446c1fd20f322db4,0.74 g,5.80 g,6.40 g,30.30 g,60.50 g,16.10 g,19.10 g,1882 kJ / 449 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Kakaohaltige Getreidecrispies 17% (Reismehl, WEIZENMEHL, fettarmes Kakaopulver, VOLLMILCHPULVER 2%, Zucker, Maismehl, Salz), Cornflakes 15% (Mais, Zucker, Salz,
GERSTENMALZEXTRAKT), Kokosfett, Glukosesirup, Glukose-Fruktose-Sirup, Oligofruktose, Traubenzucker, VOLLKORNHAFERFLOCKEN 5%, Honig 5%, Zucker, Palmöl, VOLLMILCHPULVER 3%, MAGERMILCHPULVER 3%, Stabilisator Glycerin, Karamellzuckersirup, Salz, Emulgator Lecithine,
natürliche Aromen. ",120 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,"Erdnüsse, Nüssen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Schapfenmühle Porridge natur,"1,99€","Für alle, die am Morgen, in ihrer Pause oder bei der Arbeit keine Zeit zum Kochen haben, ob zu Hause oder unterwegs, durch die handlichen Portionspackungen ist es sehr einfach das Porridge überall schnell und unkompliziert zuzubereiten. SchapfenMühle Hafer Porridge Natur ist nahrhaft als Frühstück oder Zwischenmahlzeit, basiert auf speziell ausgewählten Haferflocken und ist mit Fruchtzucker gesüßt. , SchapfenMühle GmbH & Co. KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/44561-schapfenmuhle-schapfenmuhle-porridge-natur/,https://bilder.kolonial.no/local_products/17fdc436-f1b9-4f19-8289-37986fa4ae77.jpg?auto=format&fit=max&w=699&s=d825f80bc0a4ff45a4c906a7b6d6d32a,0.85 g,8.50 g,,25 g,25 g,8.30 g,8.30 g,1665 kJ / 398 kcal,,"SchapfenMühle GmbH & Co. KG, Franzenhauserweg 21, 89081 Ulm-Jungingen, Deutschland","HAFERFLOCKEN (48%), MILCHZUCKER, MILCHEIWEIß, Fructose, Glucosesirup getrocknet, Maisstärke, Pflanzenöl (SOJA) teilweise gehärtet, MILCHFETTPULVER, Salz, Aroma. Kann Spuren an NÜSSEN, ERDNÜSSEN und SOJA enthalten. ",260 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Kölln Kernige Haferflocken Glutenfrei,"3,19€","Glutenfreie Erzeugnisse von Kölln
Für alle, die kein Gluten essen können oder möchten, bieten Glutenfreie Köllnflocken und Kölln Glutenfreies Hafer-Müsli Schoko viele Möglichkeiten, die Ernährung abwechslungsreicher zu gestalten und zu verfeinern. Sie gehören zu den wenigen Vollkorn-Nahrungsmitteln für Menschen mit Zöliakie oder Glutenintoleranz. Beide Produkte tragen das Glutenfrei-Symbol der AOECS (Association of European Coeliac Societies) und werden von der DZG (Deutsche Zöliakie Gesellschaft e.V.) lizensiert.
Um die Vermischung des Hafers mit anderen Getreidearten zu vermeiden, gehen wir mit besonderer Sorgfalt vor – vom Saatgut bis zur Verpackung. Deshalb realisieren wir Glutenfreie Köllnflocken mit ausgewählten Partnern, mit denen schon seit Jahren eine vertauensvolle Zusammenarbeit besteht. Alle weiteren Zutaten des Müslis sind von Natur aus glutenfrei. Zusammen mit unseren Lieferanten stellen wir sicher, dass diese auch während der Verarbeitung und des Transports frei von Gluten bleiben.

Glutenfreie Kölln Kernige
Für mehr Abwechslung bei der glutenfreien Ernährung sorgen Glutenfreie Kölln Kernige. Die größeren und festeren Flocken aus deutschem Hafer sind immer dann gefragt, wenn es um „kernigen“ Genuss geht, zum Beispiel im Müsli, in Kuchen-Streuseln, in kernigen Plätzchen oder beim Backen von Brot und Brötchen.

Füllstand technisch bedingt. , Peter Kölln GmbH & Co. KGaA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52303-kolln-kolln-kernige-haferflocken-glutenfrei/,https://bilder.kolonial.no/local_products/b0d13dc0-69ee-47a1-aff4-dc3df07a8107.jpg?auto=format&fit=max&w=588&s=f229386cb4ac8f1427f123a49c5d12b2,0 g,14 g,11 g,1.20 g,56 g,1.30 g,6.70 g,1520 kJ / 361 kcal,,"Peter Kölln GmbH & Co. KGaA, 25333 Elmshorn, Deutschland",100 % Vollkorn-Hafer,500 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,BIO COMPANY Bio Kinder-Früchte-Müsli,"2,79€","Kinder-Früchte-Müsli mit mindestens 25 % Früchten, leicht vermahlen für den kindgerechten Verzehr. , BIO COMPANY hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/52651-bio-company-bio-company-bio-kinder-fruchte-musli/,https://bilder.kolonial.no/local_products/233af050-53b0-4e31-96bc-80eaa844c869.jpg?auto=format&fit=max&w=450&s=9544a3331669392c21934482e3819c85,0.03 g,9.10 g,9.60 g,16 g,58 g,1 g,5.70 g,1428 kJ / 339 kcal,Bio-Produkt,"BIO COMPANY, Rheinstraße 45-46, 12161 Berlin, Deutschland","HAFERflocken* 67 %, Sultanine* 15 % (Sultanine, Sonnenblumenöl), Aprikosenstücke* 7 % (Aprikosen*, Reismehl*) DINKELWEIZENflocken* 6 %, Apfeltrockenwürfel* 2 %, Reis* gepufft 1%, HASELNÜSSE* gemahlen 1%, Erdbeerstücke* gefriergetrocknet 1%

* aus kontrolliert biologischem Anbau ",500 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Corny Crunch Hafer und Honig,"1,39€","Mit 59% Vollkorn
Ohne Zusatz von Konservierungsstoffen.* *lt. Gesetz
Ohne Farbstoffe , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42437-corny-corny-crunch-hafer-und-honig/,https://bilder.kolonial.no/local_products/25a28442-8841-4e93-ac4e-709b1cf8c3b9.jpg?auto=format&fit=max&w=400&s=3f61d09ef22d4205d0d7b1433049c14f,0.33 g,8.20 g,6.10 g,18.60 g,61.20 g,2 g,18.90 g,1928 kJ / 460 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","VOLLKORNHAFERFLOCKEN 43%, VOLLKORNHAFERMEHL 16%, Zucker, Sonnenblumenöl,
Maltodextrin, Honig 4%, Salz, Emulgator Lecithine. ",120 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,"Eier, Erdnüsse, Milch, Nüssen.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Kellogg's Frosties,"4,99€","KELLOGG'S® FROSTIES® - knusprige Flakes aus viel gutem Mais, die dich startklar für den Tag machen. Der leckere Knusperspaß von KELLOGG'S® FROSTIES® mit Tony dem Tiger.Knusprige Flakes aus Mais in der Maxi-Packung.Erlebe deine Power - mit dem leckeren Knusperspaß von KELLOGG'S FROSTIES und Tony dem Tiger.Natürlich lecker ohne künstliche Farb - und Aromastoffe. , Kellogg Europe Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43438-kelloggs-kelloggs-frosties/,https://bilder.kolonial.no/local_products/eec7ba71-b733-4460-a285-c4eb73276ac5.jpg?auto=format&fit=max&w=1000&s=c38541a361455a240359677cba43cfc5,0.83 g,4.50 g,,37 g,37 g,0.60 g,0.60 g,1594 kJ / 381 kcal,,"Kellogg Europe Germany, 3 Dublin Airport Central, Dublin Airport, K67X4X5, Ireland","Mais, Zucker (37%), GERSTENMALZ, Glukosesirup, Salz. Kann Spuren von ERDNÜSSEN enthalten. ",700 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Oetker Vitalis Porridge Beeren,"0,99€","Hafervollkornflocken, dezente Süße aus Agave und gefriergetrocknete ungesüßte Himbeer,- Heidelbeer- und Erdbeerstückchen sind nicht nur zum Frühstück attraktiv, sondern auch als leckerer Snack zwischendurch. Der praktische Portionsbeutel lässt sich mit kochendem Wasser, Milch oder pflanzlichen Alternativen überall schnell zubereiten.

enthält Magnesium

Dieses Vitalis Porridge enthält Magnesium, das zur Verringerung von Müdigkeit und Ermüdung beiträgt. Starte im Rahmen einer magnesiumhaltigen Ernährung mit diesem Porridge in den Tag und achte gleichzeitig auf eine abwechslungsreiche und ausgewogene Ernährung und gesunde Lebensweise. , Dr. August Oetker Nahrungsmittel KG hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43650-dr-oetker-oetker-vitalis-porridge-beeren/,https://bilder.kolonial.no/local_products/62eca89c-5477-4bb6-b298-2b3c6a9c1371.jpg?auto=format&fit=max&w=540&s=9651039e2e22f857a092a882005e2933,0.10 g,4.60 g,2.10 g,5.90 g,19 g,0.30 g,1.30 g,463 kJ / 110 kcal,,"Dr. August Oetker Nahrungsmittel KG, Lutterstraße 14, 33547 Bielefeld, Deutschland","55% Vollkorn-HAFERFLOCKEN, MAGERMILCHPULVER, Maisstärke, 5,7% Agavendicksaftpulver, 3,4% gefriergetrocknete Beeren (Himbeerstücke, Heidelbeeren, Erdbeerstücke), Magnesiumsalze der Zitronensäure, Aroma. ",53 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Kölln Haferkleie Flocken,"2,99€","Kölln Balance Haferkleie - das Ernährungsprogramm für Cholesterinbewusste
Wissenschaftliche Untersuchungen belegen: Haferkleie senkt aktiv den Cholesterinspiegel. Der Hintergrund: Hafer enthält den löslichen Ballaststoff Beta-Glucan. Hafer-Beta-Glucan reduziert nachweislich den Cholesteringehalt* im Blut. Diese positive Wirkung stellt sich bei einer täglichen Aufnahme von 3g Hafer-Beta-Glucan im Rahmen einer fettbewussten und abwechslungsreichen Ernährung ein. 3g Hafer-Beta-Glucan entsprechen 2 Portionen à 20g Kölln Haferkleie Flocken oder 2 Portionen à 25g Kölln Haferkleie Fleks®.

Cholesterin ist unter anderem Bestandteil der Gallensäuren. Hafer-Beta-Glucan bindet Gallensäuren im Darm und aktiviert die Bildung neuer Gallensäuren aus Cholesterin in der Leber. Dadurch verbleibt weniger Cholesterin im Blut – der Cholesterinspiegel sinkt.

Kölln Balance Haferkleie Flocken
Aus 100 % Haferkleie. Kölln Haferkleie Flocken sind zarte, leicht lösliche Flocken, die hauptsächlich aus den äußeren Teilen des Haferkorns mit Randschichten und Keim bestehen. Sie lösen sich in kalten und warmen Flüssigkeiten auf und schmecken im Trinkfrühstück oder Smoothie. Auch zum Backen sind sie hervorragend geeignet.

* Ein hoher Cholesterinwert gehört zu den Risikofaktoren für die koronare Herzerkrankung. Diese ist durch eine Reihe von Faktoren bedingt. Wird einer von diesen verändert, kann sich eine positive oder neutrale Wirkung einstellen.

Füllstand technisch bedingt.

Senkt aktiv den Cholesterinspiegel.

Beta - Glucan ist ein hafertypischer löslicher Ballaststoff. Hafer - Beta - Glucan reduziert nachweislich den Cholesteringehalt im Blut. Diese positive Wirkung stellt sich bei einer täglichen Aufnahme von 3 g Hafer - Beta - Glucan ein. Dies entspricht 2 Portionen à 20 g Kölln Haferkleie Flocken.

Ein hoher Cholesterinwert gehört zu den Risikofaktoren für die Koronare Herzerkrankung.

Die koronare Herzerkrankung ist durch eine Reihe von Faktoren bedingt. Wird einer von diesen verändert, kann sich eine positive oder neutrale Wirkung einstellen.

Verzehren Sie täglich 2 Portionen à 20 g Kölln Haferkleie Flocken im Rahmen einer fettbewussten und abwechslungsreichen Ernährung ( 1 Portion = 4 Esslöffel = 20 g ). Ebenfalls wichtig: Täglich 5 Portionen Obst oder Gemüse und 2 Liter Flüssigkeit sowie regelmäßige körperliche Aktivitäten. , Peter Kölln GmbH & Co. KGaA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/47123-kolln-kolln-haferkleie-flocken/,https://bilder.kolonial.no/local_products/621322c9-1c02-4bca-b812-f1a008d7cd12.jpg?auto=format&fit=max&w=1000&s=3b5776ce1608ab8f91fe7217b85a2ee7,0 g,18 g,19 g,2 g,43 g,1.60 g,8 g,1470 kJ / 350 kcal,,"Peter Kölln GmbH & Co. KGaA, 25333 Elmshorn, Deutschland",100 % Vollkorn-Hafer,250 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Campo Verde demeter Bio Basismüsli,"2,99€","Demeter Basis Müsli , Campo Verde GmbH hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/49996-campo-verde-campo-verde-demeter-bio-basismusli/,https://bilder.kolonial.no/local_products/b7eb6b70-be41-4a89-bc3e-82517ed9bb8d.jpg?auto=format&fit=max&w=439&s=cc47894f90ef607b5246844c0481e3b2,0.03 g,11 g,,3.50 g,57 g,0.90 g,6.50 g,1485 kJ / 353 kcal,Bio-Produkt,"Campo Verde GmbH, Daisendorferstr. 6, 88690 Uhldingen-Mühlhofen, Deutschland","HAFERFLOCKEN** 37%, GERSTENFLOCKEN** 27%, WEIZENFLOCKEN** 27%, Sultaninen** (Sultaninen**, Sonnenblumenöl*) 3,5%, HASELNÜSSE** geröstet, Sonnenblumenkerne* 1,8%, Leinsamen* 1,7%. 

* aus kontrolliert biologischem Anbau
** aus biologisch-dynamischer Landwirtschaft (Demeter) ",500 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,"Sojabohnen, Milch, Sesamsamen, Lupine.",,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,Schär Müsli,"3,85€","Fruit Müsli - Schär - 375g , Dr. Schär AG / SPA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/2500-schar-schar-musli/,https://bilder.kolonial.no/local_products/56d4fec2-f177-4fe1-ba4e-16c3542152f0.jpg?auto=format&fit=max&w=414&s=89046066167973e8d5d6dc429ff88891,0.75 g,13 g,7.40 g,26 g,61 g,0.70 g,5.90 g,1541 kJ / 365 kcal,,"Dr. Schär AG / SPA, Winkelau 9, 39014 Burgstall/Postal, Italien","SOJAFLOCKEN, Maisflocken (Mais, Salz, Emulgator: Sonnenblumenlecithin), Rosinen 22% (Rosinen, Sonnenblumenöl), Buchweizenflocken 19% (Buchweizenmehl, Maismehl, Zucker, Glukosesirup, Salz), Dattelwürfel 10% (Datteln, Reismehl), Apfelstücke 2%, Preiselbeeren 1% (Preiselbeeren, Ananassaftkonzentrat, Ananassirup, Sonnenblumenöl), Amaranthflocken 0,5%, MANDELN 0,5%. Kann Spuren
von Milch und Haselnüssen enthalten. ",375 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,Milch.,,Niederlande,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Kellogg's Tresor Choco Nut,"4,99€","""Knusprige Getreidekissen mit Füllung mit Schokoladen-Haselnuss-Geschmack. Die kleinen Tresore bereiten dir ein voll schokoladiges Frühstückserlebnis und machen dich startklar für den Tag. Egal, ob es die treibende Kraft ist, morgens aus dem Bett zu kommen, oder ein impulsiver Snack am Tag, Tresor ist die perfekte Lösung. Tresor ist eine Quelle von B-Vitaminen und gleichzeitig ist Tresor unbestreitbar köstlich. Mit einer unwiderstehlichen schokoladigen Füllung in jedem Getreidekissen sind Tresore genau das Richtige. Knusprige Getreidekissen im Maxi-Pack. Super leckere Schoko-Nougat-Füllung. Für einen guten Start in den Tag. Auch ohne Milch ideal zum Snacken geeignet. Natürlich lecker ohne künstliche Farb- und Aromastoffe."" , Kellogg Europe Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/42617-kelloggs-kelloggs-tresor-choco-nut/,https://bilder.kolonial.no/local_products/9548d775-37ee-47f2-874f-9f04804a0187.jpg?auto=format&fit=max&w=1000&s=fa14121d5b6ea49526122dc2486b6d00,0.94 g,6.60 g,,26 g,26 g,15 g,15 g,1904 kJ / 455 kcal,,"Kellogg Europe Germany, 3 Dublin Airport Central, Dublin Airport, K67X4X5, Ireland","Getreidemehle (53%) (WEIZEN, HAFER, Reis), Füllung mit Schokoladen- und HASELNUSSGESCHMACK (Zucker, pflanzliche Öle(Palm, Sonnenblume, Raps), Glukosesirup, Schokolade(4%)(Zucker, Kakaomasse), fettarmes Kakaopulver, SÜßMOLKENPULVER, MAGERMILCHPULVER, HASELNÜSSE(1%), Emulgator(Sonnenblumenlecithine), natürliches Aroma), Zucker, Salz, Farbstoff(Annatto, Norbixin, Carotin), Antioxidationsmittel (Ascorbylpalmitat, Alpha-Tocopherol). Vitamine: Riboflavin, Thiamin, Vitamin B6, Vitamin B12. ",620 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Corny Müsli-Riegel Free Schoko,"1,69€","Ohne Zuckerzusatz
Mit 32% Vollkorn
Ohne Farbstoffe
Ohne Zusatz von Konservierungsstoffen.* *lt. Gesetz

Mit Süßungsmittel.
Kann bei übermäßigem Verzehr abführend wirken. , Schwartauer Werke hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43286-corny-corny-musli-riegel-free-schoko/,https://bilder.kolonial.no/local_products/61a782a1-1d7f-4bcd-bc17-8ff563983175.jpg?auto=format&fit=max&w=1000&s=5b6473cf2cdc602b88c7d8c1f0d95edf,0.43 g,6.80 g,4.80 g,1.60 g,67.60 g,5 g,8.90 g,1358 kJ / 325 kcal,,"Schwartauer Werke, Lübecker Str. 49-55, 23611 Bad Schwartau, Deutschland","Süßungsmittel Maltitsirup, Vollkorngetreideflocken 12% (GERSTEN-, WEIZEN-), VOLLKORNWEIZENCrispies
(WEIZENVOLLKORNMEHL 11%, WEIZENGLUTEN, GERSTENMALZEXTRAKT), 
kakaohaltige
VOLLKORNWEIZEN-Crispies (WEIZENVOLLKORNMEHL 10%, fettarmes Kakaopulver, WEIZENGLUTEN, VOLLMILCHPULVER), VOLLMILCHSCHOKOLADE mit Süßungsmittel 9% (Süßungsmittel Maltit, Kakaobutter, VOLLMILCHPULVER, Kakaomasse, Emulgator Lecithine), Cornflakes (Mais, Salz, GERSTENMALZEXTRAKT), geröstete ERDNÜSSE, Kokosfett, Stabilisator Glycerin, Salz, natürliches Kakao-Aroma mit anderen natürlichen Aromen, Emulgator Lecithine. ",120 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,Nüssen.,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,39.50 g,,,,
1271,Kölln Instant Flocken,"1,89€","Kölln Vollkorn-Haferflocken
Ob zart, kernig oder löslich – Köllnflocken sind immer aus dem vollen Hafer-Korn. Und für diejenigen, die kein Gluten essen können oder möchten, haben wir eine Alternative: Zarte Köllnflocken glutenfrei. Hafer ist ballaststoffreich und enthält von Natur aus pflanzliches Protein, Vitamin B1 sowie die Mineralstoffe Eisen, Magnesium und Zink.

Kölln Instant Haferflocken
Das Besondere an Kölln Instant Flocken: Sie sind aus 100 % Vollkorn und so hauchzart, dass sie sich schnell und ohne zu klumpen in kalten und warmen Flüssigkeiten auflösen. Das macht sie vielseitig einsetzbar.

Füllstand technisch bedingt. , Peter Kölln GmbH & Co. KGaA hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/45284-kolln-kolln-instant-flocken/,https://bilder.kolonial.no/local_products/486cc9ee-f5df-40a5-a745-46d4a6655a76.jpg?auto=format&fit=max&w=1000&s=5433cc03d7dc2d42b76f5a0db0e4d31a,0 g,13 g,12 g,1.20 g,57 g,1.50 g,7 g,1533 kJ / 364 kcal,,"Peter Kölln GmbH & Co. KGaA, 25333 Elmshorn, Deutschland",100 % Vollkorn-Hafer,250 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,Deutschland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,Kellogg's Smacks,"4,99€","KELLOGG'S® SMACKS®, das ist knusprig gerösteter Weizen für einen unvergleichlichen Frühstücksgenuss. Dazu frische Milch und KELLOGG'S® SMACKS® nimmt dich mit in seine turbulente Welt aus Tricks, Spaß und Schabernack.Knusprig gerösteter Weizen verfeinert mit Honig im Maxi-Pack.Nur echt mit dem Frosch.DLG prämiert 2014.Natürlich lecker ohne künstliche Farb - und Aromastoffe. , Kellogg Europe Germany hat die oben genannten Informationen zur Verfügung gestellt.",https://oda.com//de/products/43584-kelloggs-kelloggs-smacks/,https://bilder.kolonial.no/local_products/665e6d1a-af29-41e7-8555-767260a4eca4.jpg?auto=format&fit=max&w=1000&s=481e9ed71c467e6da6520f2c6634c5dc,0 g,7.10 g,,34 g,34 g,1.60 g,1.60 g,1597 kJ / 382 kcal,,"Kellogg Europe Germany, 3 Dublin Airport Central, Dublin Airport, K67X4X5, Ireland","WEIZEN (55%), Zucker, Glukosesirup. ",700 Gramm,täglich,"Vorräte, Soßen & Gewürze","Müsli, Porridge & Cerealien",oda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
